Start Time,Date,Month,Time,Hour,Minute,A124 (HQ),A136 (HQ),A143 (HQ),A168 (HQ),A226 (HQ),A235 (HQ),A236 (HQ),A318 (HQ),A345 (HQ),A346 (HQ),Boardroom (HQ),District Counsel (HQ),B108 (Admin),B124 (Admin),B207 (Admin),B228 (Admin),B232 (Admin),C209,C212,C225,D102,D131,Evergreen (BHA),G111 (BHA),G112 (BHA),Maple (BHA),R-316 Rinc,Computers (BHA)
10/13/15 14:15,10/13/15,10,14:15:00,14,15,7,1,6,3,0,0,1,2,0,4,1,0,25,1,25,0,2,5,0,8,1,1,1,0,0,3,0,1
10/13/15 14:30,10/13/15,10,14:30:00,14,30,7,2,6,3,0,0,4,2,0,4,1,0,25,1,25,0,1,5,0,0,1,1,1,0,0,3,0,1
10/13/15 14:45,10/13/15,10,14:45:00,14,45,7,2,6,3,0,0,4,2,0,4,1,0,25,1,25,0,1,5,0,0,1,1,1,0,0,3,0,1
10/13/15 15:00,10/13/15,10,15:00:00,15,0,7,2,8,3,0,2,2,1,0,3,1,0,1,2,1,0,4,6,0,9,2,1,1,0,0,1,0,1
10/13/15 15:15,10/13/15,10,15:15:00,15,15,7,2,8,3,0,2,2,1,0,3,1,0,1,2,1,0,4,6,0,9,2,1,1,0,0,1,0,1
10/13/15 15:30,10/13/15,10,15:30:00,15,30,7,2,5,3,0,2,2,1,3,3,1,0,1,2,1,0,4,6,0,9,2,1,1,0,0,1,0,1
10/13/15 15:45,10/13/15,10,15:45:00,15,45,7,2,5,3,0,2,2,1,3,3,1,0,1,2,1,0,4,6,0,9,2,1,1,0,0,1,0,1
10/13/15 16:00,10/13/15,10,16:00:00,16,0,14,2,5,3,0,2,1,1,3,1,1,0,0,1,0,0,7,0,0,9,2,0,1,0,0,1,0,1
10/13/15 16:15,10/13/15,10,16:15:00,16,15,14,2,5,3,0,2,1,1,3,1,1,0,0,1,0,0,7,0,0,9,2,0,1,0,0,1,0,1
10/13/15 16:30,10/13/15,10,16:30:00,16,30,14,2,5,2,0,2,1,0,0,1,1,0,0,1,0,0,7,0,0,9,1,0,1,0,0,1,0,1
10/13/15 16:45,10/13/15,10,16:45:00,16,45,14,2,5,2,0,2,1,0,0,1,1,0,0,1,0,0,7,0,0,9,1,0,1,0,0,1,0,1
10/13/15 17:00,10/13/15,10,17:00:00,17,0,14,1,0,2,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1
10/13/15 17:15,10/13/15,10,17:15:00,17,15,14,1,0,2,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1
